,index,Text,Sentiment,Sentiment_score,Dominant_Topic,Topic_Keywords,Date
121,121,"I stopped by at the Clinton location in Nov-2020. The menu looked interesting so ordered a portobello burger. To my surprise, it came with cold, dry mushrooms (like store bought, dry mushrooms in a bag), slapped with toppings. After first byte, I told the guy at the counter. He acted surprised and promised to replace with a lamb burger (it was at the same price). When second order came, it was again mushroom but this time it was portobello vegetable topped with cold iceberg lettuce, stale tomato slices and other toppings. There was not even a burger patty! I have never had anything worse than this until today. Throw your money down the drain rather than eating at this place ever!!",Negative,-0.1371260683760684,4.0,"burger, cold, mushroom, like, dry, portobello, toppings, surprise, freeze, first",20-Dec
122,122,"LOUSIEST BURGER AND SERVICE.... I wish I can give -10.I stopped by at the Clinton location today. The menu looked interesting so ordered a portobello burger. To my surprise, it came with cold, dry mushrooms (like store bought), slapped with toppings. After first byte, I told the guy at the counter. He acted surprised and promised to replace with a lamb burger (it was at the same price). When second order came, it was again mushroom but this time it was portobello vegetable topped with cold iceberg lettuce, stale tomato slices and other toppings. There was not even a burger patty!I have never had anything worse than this until today. Throw your money down the drain rather than eating at this place ever!!",Negative,-0.1403935185185185,4.0,"burger, cold, mushroom, like, dry, portobello, toppings, surprise, freeze, first",20-Nov
123,123,over priced mediocre burger..waste of money. cheese over $1 more to add to your burger.also flies were roaming around inside the restaurant. after reading other reviews i see this was an issue before and they havenÂt bothered to fix it,Negative,-0.0416666666666666,2.0,"napkins, burger, review, small, price, sticky, bother, around, mediocre, fly",20-Nov
124,124,"My boyfriend and I went in, places our order (Mediterranean Burger and California Burger, each with fries and a drink) and decided that we would sit outside. Upon setting our things down on the table outside, we noticed about three flies in the inside window buzzing around, and the tables were dirty. It was just disgusting. The waitress was dressed vulgar and the host who took our order had a horrible attitude. We got our food and ate in the car; the burgers were good.",Negative,-0.3444444444444444,0.0,"burger, burgers, outside, owner, bad, mediocre, attitude, drink, prepare, bring",20-Sep
125,125,"Just ordered dinner via door dash. Sweet potato fries ($5.00!) were undercooked soggy and cold. Burgers weren't very tasty. I thought that a place with burger In Their name would have outstanding burgers. Very bland and my fries and onion rings tasted like disappointment. Always trying to eat at the local places, especially now, but they didn't impress me.",Negative,-0.0348958333333333,4.0,"burger, cold, mushroom, like, dry, portobello, toppings, surprise, freeze, first",20-Jul
126,126,"I'm not sure why this place has such good reviews, the place is average at best! First of all the guy is very rude. If you ask a question, he walks away from you and does not come back! The table I was sitting at was very sticky. I put napkins down to cover the sticky stuff and the napkins became glued to the table! The food prices are expensive! $8 hamburger and $5 for a small size powdered milk shake! The bathroom was out of order. No catch-up bottles on the table and we ran out of napkins. Whenever a customer opens the door, freezing cold air cools down the small eating area. Parking is on the street or in the cominled lot behind the building. Next time I'll pass on this place and go to McDonald's!",Negative,-0.0692647058823529,2.0,"napkins, burger, review, small, price, sticky, bother, around, mediocre, fly",20-Feb
127,127,"went there to try the burgers,,,,,asked for medium rare,,,was well done.. the burger was mediocre at best....not much flavor...won;t be back,,,",Negative,-0.0999999999999999,0.0,"burger, burgers, outside, owner, bad, mediocre, attitude, drink, prepare, bring",19-Nov
128,128,Went for the first time this past Friday and would not go back. There was garbage on the floor and trash can overflowing. My daughter went into use the bathroom the toilet was not working. Felt bad for the guy behind the counter as there was a line of people waiting to order and he was also charged with running out the food. A management mess. On top of it all the burgers and fries were very average. Was excited to try this place out but was disappointed.,Negative,-0.1253030303030303,1.0,"burger, fry, patty, approach, turkey, beef, tell, owner, hard, check",19-Oct
129,129,"Not good, but not bad. It's pretty mediocre. However, it could just be because I ordered the veggie burger. It was all tasteless, but $9 for a burger, fries, and drink is a good deal for the area. It just all desperately needs seasoning. Even the fries need salt. However, what bothered me most was that all of the tables and napkin holders felt like they were covered in grease. Worse, the owner was trying too hard to get business. After thoroughly explaining the menu to me, he then proceeded to approach me multiple times while eating to check in and at one point approach every table to hand out menus to take to go and again explain the different types of burgers. Checking in once is fine, but to repeatedly approach every table to try to sell your food is just weird and annoying--especially when we've clearly already bought something.",Negative,-0.0616666666666666,1.0,"burger, fry, patty, approach, turkey, beef, tell, owner, hard, check",19-Aug
130,130,Sadly after eating here a couple of times I will not be returning. I have ordered a turkey burger several times. Well today I get my burger and it is beef. I kindly go back in to tell them of the mistake and they insist the patty is beef. I think a 5 year old can tell the difference between a turkey patty and a beef patty. What happen to customer is right and making a new burger? Very sad too because the other times their TURKEY burger was good. 5 thumbs down.,Negative,-0.0208477633477633,1.0,"burger, fry, patty, approach, turkey, beef, tell, owner, hard, check",19-May
131,131,This place changed hands for the 3rd time. I had the overpriced hamburger and it was too thick and tasteless. The coleslaw that came with it had a strange taste and threw it out. When it was Johnny's I preferred their burger better. I can't comment on their other foods on the menu but I was not a fan of the price and the burger.,Negative,-0.0958333333333333,3.0,"get, back, burger, toppings, like, ask, give, work, people, orient",18-Dec
132,132,"Wife ordered a black bean burger, which are definitely grocery store frozen, not fresh. Cheap buns, my mushroom burger crumbled to pieces in my hands as soon as I picked it up. Definitely not worth the price.",Negative,-0.0133333333333333,4.0,"burger, cold, mushroom, like, dry, portobello, toppings, surprise, freeze, first",18-Jun
133,133,"Ordered a hamburger and fries, was meh. The owner is rude, and the service was non-existent. Kinda hard to mess up a burger and fries.",Negative,-0.2555555555555555,1.0,"burger, fry, patty, approach, turkey, beef, tell, owner, hard, check",17-Jul
134,134,"Food isn't bad. However, the place is not kid friendly at all. Bring a straight jacket for your toddlers or be prepared to be yelled at by the owner every 2 minutes.",Negative,-0.0416666666666666,0.0,"burger, burgers, outside, owner, bad, mediocre, attitude, drink, prepare, bring",17-May
135,135,"Food was okay. But the lady behind the counter spoke poor English and when I received my food it was cold to the bone. The owner had a not so kind attitude that made the experience a little nerve racking. I also did not feel safe with the local drunk loitering outside trying to play a game of grab ass with me. I was not amused. Overall, the place is clean and the establishment looks better then the food tastes. My hamburger bun couldn't have been anymore moist if they tried. The fries resulted in me having a bad case of the salty squirts which scorched my anus upon exit.",Negative,-0.0450520833333333,5.0,"cold, look, counter, hamburger, taste, behind, outside, bun, make, fry",17-May
