Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
5E+17,15,1/6/2021 13:49,1/6/2021 13:49,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Mediterranean Burger,,Burgers,OUR SIGNATURE BURGERS,,9.99,0,9.99,1,0.67,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/6/2021 13:55,1/6/2021 13:54,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,4.19,0,4.19,1,0.28,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/6/2021 13:55,1/6/2021 13:54,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Bacon Cheese Fries,,Sides,SIDES,,12.58,0,12.58,2,0.84,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/6/2021 13:55,1/6/2021 13:54,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,California Burger,,Burgers,OUR SIGNATURE BURGERS,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,16,1/6/2021 13:55,1/6/2021 13:54,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,8.37,0,8.37,1,0.56,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,14,1/6/2021 14:11,1/6/2021 13:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Bottle Soda,,Drinks,BEVERAGES,,4.58,0,4.58,2,0.31,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,17,1/6/2021 15:03,1/6/2021 14:11,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,4.19,0,4.19,1,0.28,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,19,1/6/2021 15:29,1/6/2021 15:29,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,5.19,0,5.19,1,0.35,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,19,1/6/2021 15:29,1/6/2021 15:29,5E+17,,,,Lunch,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,8.37,0,8.37,1,0.56,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,18,1/6/2021 15:59,1/6/2021 15:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Texan Burger,,Burgers,OUR SIGNATURE BURGERS,,8.19,0,8.19,1,0.55,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,18,1/6/2021 15:59,1/6/2021 15:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,9.57,0,9.57,3,0.64,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,18,1/6/2021 15:59,1/6/2021 15:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,18,1/6/2021 15:59,1/6/2021 15:28,5E+17,,,,Lunch,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,5.99,0,5.99,1,0.4,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,20,1/6/2021 16:49,1/6/2021 16:49,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Mexican Burger,,Burgers,OUR SIGNATURE BURGERS,,8.99,0,8.99,1,0.6,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,20,1/6/2021 16:49,1/6/2021 16:49,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Hawaiian Burger,,Burgers,OUR SIGNATURE BURGERS,,9.99,0,9.99,1,0.67,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,20,1/6/2021 16:49,1/6/2021 16:49,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Fried Pickles,,Appetizers,APPETIZERS,,7.29,0,7.29,1,0.49,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,20,1/6/2021 16:49,1/6/2021 16:49,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Chili Cheese Fries,,Sides,SIDES,,6.29,0,6.29,1,0.42,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,20,1/6/2021 16:49,1/6/2021 16:49,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Choco,,Milkshake,MILKSHAKES AND FLOATS,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,21,1/6/2021 18:09,1/6/2021 18:09,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,21,1/6/2021 18:09,1/6/2021 18:09,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Sweet Potato Fries,,Sides,SIDES,,6.19,0,6.19,1,0.42,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,21,1/6/2021 18:09,1/6/2021 18:09,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Mexican Burger,,Burgers,OUR SIGNATURE BURGERS,,8.99,0,8.99,1,0.6,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,24,1/6/2021 18:24,1/6/2021 18:24,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,7.18,0,7.18,1,0.48,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,24,1/6/2021 18:24,1/6/2021 18:24,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,Mac n Cheese Bites,,Appetizers,APPETIZERS,,5.99,0,5.99,1,0.4,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,24,1/6/2021 18:24,1/6/2021 18:24,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,Fried Ravioli,,Appetizers,APPETIZERS,,7.59,0,7.59,1,0.51,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,24,1/6/2021 18:24,1/6/2021 18:24,5E+17,,,,Dinner,DoorDash,5E+17,5E+17,5E+17,,,Chowly Open Item,,Chowly Open Item,Chowly Open Item Menu,,0,0,0,1,0.00E+00,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,23,1/6/2021 18:26,1/6/2021 18:15,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Handcraft It,,Make Your Own,BUILD YOUR OWN,,14.36,0,14.36,2,0.96,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,23,1/6/2021 18:26,1/6/2021 18:15,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,French Fries,,Sides,SIDES,,6.38,0,6.38,2,0.43,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,23,1/6/2021 18:26,1/6/2021 18:15,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,The Cheeseburger Deluxe,,Specials,DAILY SPECIALS,,11.39,0,11.39,1,0.76,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
5E+17,23,1/6/2021 18:26,1/6/2021 18:15,5E+17,,,,Dinner,Take Out,5E+17,5E+17,5E+17,,,Choco,,Milkshake,MILKSHAKES AND FLOATS,,5.59,0,5.59,1,0.38,FALSE,FALSE,FALSE,Tax Not Included,No Effect,
